config,fold,name,window,hidden,lstm_layers,dropout,batch_size,learning_rate,weight_decay,lambda_voltage,loss_function,huber_delta,current_focus_weight,voltage_pca_components,current_pca_components,parameters,best_epoch,epochs_run,initial_val_current_r2_h5,best_val_current_r2_h5,best_val_current_mse_h5,best_val_voltage_r2_h5,best_val_voltage_mse_h5,best_val_total_loss
window_44_h128,recent,window_44_h128,44,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,3,11,0.9192105252542021,0.9193313431856683,17.603122388988798,0.5281523969980313,1.2876206087391723e-05,0.355335007799734
window_60_h128,early,window_60_h128,60,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.7340618822189708,0.7340618822189708,40.37774648031509,0.028664221133508194,3.782727248393778e-05,0.6063133088668974
window_60_h128,middle,window_60_h128,60,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.8330732930964633,0.8331095890278704,20.8060755805436,0.41217914813950196,1.4301354133213679e-05,0.32739150760197405
window_60_h128,recent,window_60_h128,60,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,4,12,0.927023052684016,0.9283229095548496,15.641026458351021,0.5627427136748753,1.1932274098915925e-05,0.34409406928732844
window_80_h128,early,window_80_h128,80,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.7471606697047352,0.7471606697047352,38.38893974319586,0.060870898366121806,3.657302983995528e-05,0.6076666532766701
window_80_h128,middle,window_80_h128,80,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,5,13,0.8480419687872073,0.8499484915493278,18.70678493517897,0.4472492126244193,1.3448118984977611e-05,0.3218047607063067
window_80_h128,recent,window_80_h128,80,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,5,13,0.9316672290348536,0.9337401798764635,14.458896046720527,0.6115409695241296,1.0600622957694287e-05,0.34112886863179726
window_102_h128,early,window_102_h128,102,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.7371663274302432,0.7371663274302432,39.90639433738536,0.0005717052618393614,3.892129504107765e-05,0.5897976537742237
window_102_h128,middle,window_102_h128,102,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,5,13,0.8316198455671213,0.8333905690874308,20.771046052353295,0.3868591956747558,1.4917374483101517e-05,0.3211978343453738
window_102_h128,recent,window_102_h128,102,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,4,12,0.9316827617624861,0.9340997037716732,14.380442488931552,0.620545121400512,1.0354909480578264e-05,0.3356571274228615
window_22_h192,early,window_22_h192,22,192,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,424592,0,8,0.762735254865835,0.762735254865835,36.02422927439133,0.17449596590378913,3.2148065286740835e-05,0.5790392045337375
window_22_h192,middle,window_22_h192,22,192,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,424592,1,9,0.8431650930618032,0.8431901910854619,19.54933610051046,0.42920935641725344,1.3887018645162106e-05,0.29383442779578783
window_22_h192,recent,window_22_h192,22,192,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,424592,3,11,0.9219625942595842,0.9226144200951787,16.886705295499926,0.550745716314895,1.225965906273518e-05,0.32615837867897335
window_22_h224,early,window_22_h224,22,224,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,556080,32,35,0.762735254865835,0.7867580512503336,32.37681539384268,0.30660115356616624,2.7003419079969812e-05,0.5885033247494461
window_22_h224,middle,window_22_h224,22,224,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,556080,2,10,0.8431650930618032,0.8432692959058835,19.539474174574206,0.4295862601204995,1.3877848787854083e-05,0.29390315844280884
window_22_h224,recent,window_22_h224,22,224,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,556080,3,11,0.9219625942595842,0.9228370798130179,16.838117573589038,0.5518330623072035,1.2229986577389934e-05,0.32594738089212094
window_22_h192_mse,early,window_22_h192_mse,22,192,1,0.2,32,0.0001,0.0001,0.1,mse,1.0,1.0,16,64,424592,0,8,0.762735254865835,0.762735254865835,36.02422927439133,0.17449596590378913,3.2148065286740835e-05,6.808986814895479
window_22_h192_mse,middle,window_22_h192_mse,22,192,1,0.2,32,0.0001,0.0001,0.1,mse,1.0,1.0,16,64,424592,4,12,0.8431650930618032,0.843748604132629,19.47971925436068,0.4320219265318045,1.3818590379806468e-05,2.381170112307709
window_22_h192_mse,recent,window_22_h192_mse,22,192,1,0.2,32,0.0001,0.0001,0.1,mse,1.0,1.0,16,64,424592,4,12,0.9219625942595842,0.9228576349661506,16.83363212793257,0.5523104363196365,1.2216959561620974e-05,2.8485010224993865
window_22_h224_mse,early,window_22_h224_mse,22,224,1,0.2,32,0.0001,0.0001,0.1,mse,1.0,1.0,16,64,556080,0,8,0.762735254865835,0.762735254865835,36.02422927439133,0.17449596590378913,3.2148065286740835e-05,6.808986814895479
window_22_h224_mse,middle,window_22_h224_mse,22,224,1,0.2,32,0.0001,0.0001,0.1,mse,1.0,1.0,16,64,556080,3,11,0.8431650930618032,0.8434451535394814,19.51755016351365,0.4313595537779624,1.3834705540217848e-05,2.378856073511709
window_22_h224_mse,recent,window_22_h224_mse,22,224,1,0.2,32,0.0001,0.0001,0.1,mse,1.0,1.0,16,64,556080,4,12,0.9219625942595842,0.9229213627974672,16.819725750182517,0.5544415704346807,1.2158803237649853e-05,2.849195865121218
