name,window,hidden,lstm_layers,dropout,batch_size,learning_rate,weight_decay,lambda_voltage,loss_function,huber_delta,current_focus_weight,voltage_pca_components,current_pca_components,parameters,best_epoch,epochs_run,initial_val_current_r2_h5,best_val_current_r2_h5,best_val_current_mse_h5,best_val_voltage_r2_h5,best_val_voltage_mse_h5,best_val_total_loss
w78_hidden_192,78,192,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,424592,4,12,0.9328739178872278,0.9342378776672389,14.353668193330261,0.619217614872255,1.0392162424251017e-05,0.3397599497053883
w102_vweight_100,102,128,1,0.2,32,0.0001,0.0001,1.0,huber,1.0,1.0,16,64,216912,7,15,0.931595771962385,0.9341277617973347,14.377702798713406,0.643592823916898,9.726923848595734e-06,0.4299291437215144
refine_window_103,103,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,5,13,0.9309113522950738,0.9337064177365568,14.469668091637377,0.6172502960397476,1.0445853712625206e-05,0.3340852414027299
w78_current_pca_128,78,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,128,237456,4,12,0.9328739178872278,0.9336786535185493,14.475728090293012,0.6162370258804168,1.0473507481514435e-05,0.34017767705539664
w102_current_pca_128,102,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,128,237456,4,12,0.931595771962385,0.9333931217948211,14.53805009991923,0.6187353203006984,1.0405325017164206e-05,0.3353180994491766
refine_window_100,100,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,6,14,0.9302689784188533,0.9333036647022459,14.557575586305887,0.6156057855808754,1.0490735042393769e-05,0.3341633695186955
w78_hidden_256,78,256,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,706000,2,10,0.9328739178872278,0.9331509538794646,14.590907242918812,0.6132765234164665,1.0554304345194053e-05,0.34068287068074293
w102_hidden_192_pca_128,102,192,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,128,449232,3,11,0.931595771962385,0.9330416980947452,14.614754120519995,0.6184406034951557,1.0413368311791215e-05,0.3351612477609427
w78_layers_2,78,128,2,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,349008,2,10,0.9328739178872278,0.9329817878176945,14.627830526932273,0.6129221617736514,1.0563975443156802e-05,0.34075071522504974
refine_window_77,77,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,6,14,0.9327518609013195,0.9329157393328673,14.64224669846463,0.6136394000658468,1.0544400859036041e-05,0.3398103474980534
w78_vweight_100,78,128,1,0.2,32,0.0001,0.0001,1.0,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.9328809613380096,14.649837569636508,0.6129407782451959,1.0563467369769973e-05,0.4475658376618187
w78_dropout_030,78,128,1,0.3,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.9328780306830337,14.65047723343722,0.6129429605622954,1.0563407810833832e-05,0.340762984634626
w78_dropout_000,78,128,1,0.0,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.9328771637690878,14.650666451708904,0.6129345520311031,1.0563637293145285e-05,0.34076515164705784
refine_window_78,78,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.9328770272955176,14.650696239317256,0.6129384492801311,1.0563530930964448e-05,0.3407629191285313
w78_weight_decay_0,78,128,1,0.2,32,0.0001,0.0,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.9328770272955176,14.650696239317256,0.6129384492801311,1.0563530930964448e-05,0.3407629191285313
